2,22,20892,104,44
2,92,22397,100,184
1,34,31024,105,34
1,19,28670,117,19
2,62,37583,107,124
1,32,21448,119,32
1,36,36830,100,36
2,61,23599,112,122
1,43,34184,104,43
2,38,26916,118,76
2,79,22732,100,158
1,4,30082,111,4
2,71,28782,101,142
1,41,24916,106,41
2,10,28741,119,20
2,59,29226,102,118
2,45,35769,107,90
2,91,30081,106,182
1,50,38215,114,50
1,25,32286,117,25
1,99,39537,112,99
2,31,36387,109,62
2,18,20713,109,36
2,98,25965,118,196
2,79,21395,102,158
2,9,22907,107,18
1,66,27281,118,66
1,60,31148,101,60
1,5,38639,100,5
1,81,35316,103,81
1,40,27039,120,40
1,2,21164,116,2
2,28,29030,104,56
2,78,21363,100,156
2,71,33457,119,142
2,11,37261,111,22
1,60,25025,114,60
1,23,36066,102,23
2,70,33953,112,140
2,84,37141,116,168
1,80,21229,110,80
1,21,21860,109,21
2,24,38157,120,48
2,51,27112,119,102
1,55,25836,114,55
1,100,34744,119,100
2,30,36607,105,60
2,91,38393,118,182
2,84,33532,114,168
1,7,31352,118,7
1,21,31662,110,21
1,93,37494,118,93
1,66,28403,100,66
1,67,23907,117,67
2,15,29360,110,30
2,61,35974,119,122
2,11,21846,103,22
2,98,24181,102,196
1,46,38428,112,46
1,17,31370,117,17
1,93,39039,113,93
2,81,20541,119,162
1,50,23237,112,50
1,55,30304,115,55
1,79,29805,100,79
2,97,35144,109,194
2,91,33196,112,182
1,89,31021,110,89
1,32,27250,107,32
1,25,35158,110,25
1,89,37919,110,89
1,34,20217,102,34
2,44,35194,104,88
2,5,27406,101,10
1,39,39491,105,39
2,5,24837,107,10
1,70,28455,106,70
1,29,34444,105,29
2,46,33551,101,92
1,42,22948,102,42
2,96,30040,119,192
1,44,39866,104,44
2,48,38309,105,96
1,75,23058,112,75
1,25,26274,112,25
1,58,39100,107,58
2,64,35388,106,128
2,90,34570,119,180
2,97,25590,111,194
2,5,27047,111,10
2,3,28545,114,6
1,98,34771,115,98
2,20,22432,113,40
1,55,35823,109,55
2,44,24610,117,88
2,87,24584,102,174
1,7,21781,115,7
2,15,26469,107,30
1,37,37929,112,37
1,72,29060,109,72
2,55,26065,113,110
1,95,22677,102,95
2,47,27949,109,94
1,31,33287,102,31
2,46,32686,106,92
1,61,38569,113,61
1,10,25031,117,10
2,77,29179,120,154
2,36,28543,107,72
1,97,22638,103,97
1,15,30627,106,15
2,2,35561,112,4
2,94,30484,119,188
2,13,27741,107,26
2,45,33140,118,90
1,33,21853,103,33
2,24,27195,100,48
2,87,28053,119,174
1,36,32670,107,36
2,16,35519,100,32
1,14,34285,113,14
1,58,20661,107,58
1,54,33810,116,54
1,40,36313,120,40
2,69,24947,108,138
1,33,23779,107,33
1,78,39812,113,78
2,63,35235,114,126
1,26,25978,118,26
2,4,37031,111,8
1,42,25661,119,42
1,36,23690,118,36
2,86,21100,102,172
2,64,25367,115,128
1,57,38712,109,57
2,73,36136,101,146
1,1,29475,115,1
2,14,39251,119,28
1,18,32269,117,18
1,46,27269,112,46
2,49,20710,111,98
2,54,24691,108,108
2,100,25846,110,200
1,55,34369,103,55
1,93,27747,106,93
2,75,38160,119,150
2,79,21428,120,158
1,21,33243,101,21
1,28,30888,114,28
2,82,35877,117,164
2,8,37910,100,16
1,59,31303,108,59
2,82,20787,105,164
2,77,25928,106,154
1,72,35482,103,72
2,33,21234,107,66
2,15,34291,100,30
1,71,36448,100,71
2,90,35232,104,180
1,61,30458,104,61
2,41,29308,109,82
1,23,39881,120,23
2,94,39197,117,188
2,41,34680,108,82
2,10,29577,117,20
1,69,20002,102,69
1,52,34109,120,52
1,34,23968,108,34
2,10,22389,116,20
1,65,33135,105,65
2,19,35791,101,38
2,77,35681,101,154
1,33,25690,103,33
1,88,36577,108,88
2,94,33323,105,188
2,17,23405,110,34
1,73,23691,104,73
2,45,33755,119,90
2,96,26968,114,192
1,64,36407,118,64
1,94,27958,119,94
2,9,21238,108,18
1,85,29538,106,85
2,8,25972,101,16
2,3,25159,106,6
1,61,23379,111,61
1,71,31501,102,71
2,13,32266,101,26
1,93,24431,106,93
2,67,23098,111,134
1,39,37774,101,39
2,96,38012,102,192
2,15,39304,116,30
1,44,32278,119,44
1,83,23234,102,83
2,22,24795,114,44
1,60,34386,118,60
2,95,26387,118,190
2,75,26238,110,150
2,72,20292,108,144
2,89,33514,119,178
1,70,34122,110,70
1,24,38714,107,24
1,29,28609,114,29
1,68,28325,100,68
2,91,39273,113,182
1,36,39248,114,36
1,61,32261,120,61
2,56,26932,105,112
1,52,29062,119,52
2,43,39979,115,86
1,2,30268,106,2
1,37,22884,115,37
2,11,28713,115,22
2,57,35580,117,114
2,51,26536,114,102
2,8,20952,117,16
2,57,37883,119,114
1,52,28725,110,52
1,99,20175,110,99
1,60,27577,110,60
2,61,39582,105,122
1,92,27683,103,92
2,99,21577,110,198
2,36,29792,107,72
2,79,34866,118,158
1,77,35272,116,77
1,33,29960,113,33
1,7,29585,106,7
