1,37,21,6
1,98,23,6
1,8,25,31
2,20,20,5
2,54,23,32
1,1,23,5
1,23,23,22
1,81,25,33
1,94,24,11
1,3,25,34
1,92,25,29
2,20,24,22
1,16,24,24
1,94,22,24
2,63,25,31
2,50,22,34
1,90,22,20
2,85,20,25
2,11,25,39
2,70,22,36
1,44,23,31
1,4,20,24
2,15,22,24
2,3,24,22
2,28,22,2
2,51,25,38
2,86,24,40
2,27,23,3
1,8,25,36
1,50,21,13
1,91,22,27
1,9,24,4
2,33,21,38
1,14,25,5
1,92,24,4
1,92,20,40
2,12,25,3
2,28,21,9
2,33,21,12
2,1,25,12
2,69,21,4
2,25,23,33
1,74,23,2
1,65,24,28
2,6,21,25
1,64,24,13
1,41,25,14
2,95,24,2
1,79,20,23
1,96,24,24
2,83,22,30
1,53,22,23
1,69,20,29
2,92,20,12
2,3,25,15
1,2,24,31
2,55,25,25
2,8,25,34
1,12,21,35
1,45,21,26
1,10,20,5
2,28,25,24
1,68,25,11
2,30,22,2
1,36,23,37
2,13,21,25
2,100,22,26
1,14,23,6
2,82,20,3
2,15,23,31
1,17,21,34
1,27,23,38
1,56,22,12
2,100,21,5
2,14,25,5
2,85,22,4
1,92,21,37
2,39,20,14
2,33,21,28
1,46,24,4
2,30,23,23
1,82,23,10
2,39,20,23
1,71,22,27
1,54,23,32
1,61,25,37
2,82,22,26
1,57,22,8
1,93,22,4
1,77,22,16
1,15,25,26
1,5,25,3
1,63,25,35
2,48,23,27
1,47,23,10
1,57,24,31
2,55,22,21
1,53,24,10
2,62,25,13
1,14,22,6
1,16,25,30
2,70,25,34
2,73,22,1
2,7,25,14
2,67,21,31
2,93,25,10
1,92,21,31
2,49,22,40
1,35,23,13
2,96,24,7
1,34,24,26
2,7,22,12
1,21,22,21
2,66,25,36
2,29,21,3
2,94,21,3
1,51,25,32
1,1,20,23
1,96,23,20
1,20,22,20
1,83,20,11
2,74,23,23
2,33,22,11
1,68,22,17
1,21,20,37
1,67,24,25
2,45,22,15
2,79,21,37
1,11,22,30
2,77,20,7
2,52,21,14
2,10,21,22
2,96,25,27
1,22,23,16
2,54,23,19
1,58,23,2
1,62,22,34
2,18,20,36
1,96,23,30
2,81,20,8
2,99,21,27
2,16,21,30
1,100,24,28
1,26,21,22
2,22,20,20
2,81,24,13
2,100,25,5
1,51,21,1
1,82,22,20
1,50,21,29
2,70,20,38
2,59,24,18
2,59,20,8
1,45,25,14
1,53,20,31
1,19,21,14
2,1,24,35
2,72,23,12
2,46,24,32
1,53,21,39
2,94,25,12
1,92,20,13
1,62,25,20
2,77,25,14
1,39,22,18
2,73,20,3
1,37,21,23
1,20,23,26
1,28,25,7
2,35,25,20
1,98,24,27
1,63,25,1
1,81,21,21
1,35,21,27
1,91,25,16
2,82,23,2
1,41,25,8
2,1,22,19
1,74,22,30
1,36,21,22
2,91,20,5
1,31,24,10
2,58,21,4
2,27,20,28
2,63,23,3
2,57,20,30
1,81,21,28
1,78,23,24
1,22,20,28
2,50,23,27
1,92,23,8
1,34,25,33
2,85,23,30
2,71,25,17
2,70,23,8
2,12,21,39
2,28,21,5
2,91,20,26
2,25,23,37
2,95,23,24
2,13,20,26
1,18,22,26
2,37,25,19
1,55,24,22
2,62,25,1
1,93,20,36
1,7,25,38
2,66,24,27
1,17,20,23
1,71,24,7
2,69,22,27
1,30,20,38
2,39,20,14
2,1,23,4
1,63,20,40
2,78,20,28
2,55,20,29
1,13,22,18
2,40,24,16
2,8,25,21
1,91,24,1
1,32,23,24
1,82,25,24
1,38,23,23
2,98,25,33
1,97,20,24
2,29,20,30
2,95,23,40
2,15,24,28
1,37,24,26
1,73,25,37
1,63,24,33
2,36,20,6
1,91,23,37
1,92,20,34
1,51,20,29
1,28,25,5
1,41,24,23
1,31,23,9
2,18,20,26
1,53,25,16
2,99,25,21
1,94,20,20
1,28,21,27
2,13,23,29
1,78,23,16
2,16,24,3
1,23,22,32
1,98,24,13
1,46,24,15
1,81,20,7
1,99,23,6
1,50,25,25
2,100,25,18
2,15,25,23
1,51,23,15
2,25,24,17
1,99,20,9
2,2,25,9
1,19,25,32
2,14,24,10
2,29,23,11
1,1,20,12
1,11,25,29
2,6,21,15
2,48,25,35
2,79,24,5
2,69,20,30
2,65,23,2
1,3,23,39
2,50,23,18
1,33,20,8
2,52,25,34
1,72,22,38
2,4,20,32
2,92,25,40
1,32,21,35
1,74,23,10
2,64,24,16
2,24,23,29
1,23,22,13
2,59,20,23
2,93,22,39
2,86,20,36
2,34,24,11
1,43,23,10
1,15,20,28
1,54,21,22
2,23,23,13
1,89,24,29
1,53,24,1
1,20,21,19
1,62,25,4
2,78,25,11
1,42,24,28
1,85,22,8
1,27,22,24
2,32,22,35
2,58,22,40
1,21,22,1
2,50,23,11
2,84,23,32
2,7,20,16
2,5,20,30
2,62,20,3
1,4,24,30
2,67,21,15
1,83,20,10
1,19,21,23
1,50,22,17
2,40,20,19
1,91,20,6
1,23,21,3
1,27,25,31
2,26,20,40
1,67,24,7
1,65,20,11
1,90,20,14
2,40,24,15
2,19,20,37
1,61,23,5
1,75,23,18
1,21,20,29
1,84,20,19
1,99,21,29
1,81,25,25
2,69,25,7
2,54,24,3
1,91,24,31
1,76,25,39
1,9,20,6
2,74,24,5
1,39,21,22
1,95,20,24
2,26,24,39
2,96,24,27
1,86,22,26
2,65,22,26
1,80,21,21
1,33,22,35
2,5,25,15
2,48,23,29
1,97,24,10
2,21,22,24
2,26,20,18
2,38,23,34
2,30,24,15
2,38,22,12
2,10,20,17
2,64,23,7
2,1,24,40
2,56,24,4
1,28,23,23
1,62,21,20
1,96,22,34
1,44,20,30
1,71,20,14
1,79,24,31
2,50,24,21
2,68,22,20
1,82,20,29
1,96,25,36
2,67,25,17
1,17,22,29
1,73,24,12
1,77,21,39
2,63,25,30
2,8,23,9
2,20,24,38
2,87,21,21
2,24,24,35
1,16,21,24
2,6,23,20
1,22,25,22
2,68,20,6
1,46,22,20
1,2,21,1
2,44,23,25
1,79,24,4
2,3,23,18
2,28,21,29
1,40,20,19
2,74,25,30
2,98,22,36
2,96,22,40
1,5,23,9
2,90,22,28
2,66,20,4
2,18,24,39
2,36,23,3
1,65,25,13
1,59,23,36
2,94,22,28
2,81,24,37
1,40,23,15
2,86,22,19
2,79,25,11
2,29,21,2
2,14,22,25
1,47,23,25
2,30,24,27
1,55,21,33
1,57,22,22
1,36,23,10
2,85,23,36
2,47,21,6
2,5,22,23
2,50,25,14
1,72,23,40
1,16,23,36
1,79,25,33
1,66,24,28
1,40,25,5
1,77,21,26
1,45,20,31
1,79,24,35
2,3,23,15
2,17,24,1
1,24,22,28
2,34,22,6
1,38,20,15
